Time,Clock ,Input to Input,Enabled 1 Bit Counter 1 output,Enabled 1 Bit Counter TC 1 output,Input to Moore 1,NS of Moore 1,output of Moore 1,PS of Moore 1,Enabled 2 Bit Counter And1 output,Enabled 1 Bit Counter 2 output,Enabled 1 Bit Counter TC 2 output,Input to Moore 2,NS of Moore 2,output of Moore 2,PS of Moore 2,Enabled 2 Bit Counter 1 output,Enabled 2 Bit Counter TC1 output,Enabled 4 Bit Counter And1 output,Enabled 1 Bit Counter 3 output,Enabled 1 Bit Counter TC 3 output,Input to Moore 3,NS of Moore 3,output of Moore 3,PS of Moore 3,Enabled 2 Bit Counter And2 output,Enabled 1 Bit Counter 4 output,Enabled 1 Bit Counter TC 4 output,Input to Moore 4,NS of Moore 4,output of Moore 4,PS of Moore 4,Enabled 2 Bit Counter 2 output,Enabled 2 Bit Counter TC2 output,Enabled 4 Bit Counter 1 output,Enabled 4 Bit Counter TC1 output
8.51,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,8,0
8.52,1,1,1,1,1,0,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,9,0
8.53,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,9,0
8.54,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,9,0
8.549999999999999,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,9,0
9.0,0,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,9,0
9.5,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,9,0
9.51,1,1,1,1,1,0,3,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,9,0
9.52,1,1,0,0,1,1,0,0,0,1,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,10,0
9.53,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,10,0
9.54,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,10,0
9.549999999999999,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,10,0
10.0,0,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,10,0
10.5,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,10,0
10.51,1,1,0,0,1,1,0,1,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,10,0
10.52,1,1,1,1,1,0,3,1,1,1,1,1,1,3,1,3,1,1,0,0,1,0,0,0,0,1,1,0,1,3,1,2,0,11,0
10.53,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,11,0
10.54,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,11,0
10.549999999999999,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,11,0
11.0,0,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,11,0
11.5,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,11,0
11.51,1,1,1,1,1,0,3,0,1,1,1,1,0,3,0,3,1,1,0,0,1,1,0,1,0,1,1,0,1,3,1,2,0,11,0
11.52,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,1,0,1,1,0,1,3,1,3,1,12,0
11.53,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,12,0
11.54,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,12,0
11.549999999999999,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,12,0
12.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,12,0
12.5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,12,0
12.51,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,12,0
12.52,1,1,1,1,1,0,3,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,13,0
12.53,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,13,0
12.54,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,13,0
12.549999999999999,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,13,0
13.0,0,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,13,0
13.5,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,13,0
13.51,1,1,1,1,1,0,3,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,13,0
13.52,1,1,0,0,1,1,0,0,0,1,1,0,0,3,1,2,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,14,0
13.53,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,14,0
13.54,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,14,0
13.549999999999999,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,14,0
14.0,0,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,14,0
14.5,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,14,0
14.51,1,1,0,0,1,1,0,1,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,1,1,0,1,3,1,3,1,14,0
14.52,1,1,1,1,1,0,3,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,3,1,15,1
14.53,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,15,1
14.54,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,15,1
14.549999999999999,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,15,1
15.0,0,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,15,1
15.5,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,15,1
15.51,1,1,1,1,1,0,3,0,1,1,1,1,0,3,0,3,1,1,1,1,1,0,3,0,1,1,1,1,0,3,0,3,1,15,1
15.52,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
15.53,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.54,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.549999999999999,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.51,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.520000000000003,1,1,1,1,1,0,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16.530000000000005,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16.540000000000006,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16.550000000000008,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17.0,0,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17.5,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17.51,1,1,1,1,1,0,3,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17.520000000000003,1,1,0,0,1,1,0,0,0,1,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17.530000000000005,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17.540000000000006,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17.550000000000008,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18.0,0,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18.5,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18.51,1,1,0,0,1,1,0,1,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18.520000000000003,1,1,1,1,1,0,3,1,1,1,1,1,1,3,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
