Time,Input to PWM Input,Clock clk,Input to Mod 4 Counter,NS of Mod 4 Counter,output of Mod 4 Counter,PS of Mod 4 Counter,Sync Reset Comparator output,Output Comparator output,Final Output from PWM Output
28.710000000000004,9,1,1,3,2,2,1,0,0
28.800000000000004,9,1,1,0,2,2,1,0,0
29.0,9,0,1,0,2,2,1,0,0
29.5,9,1,1,0,2,2,1,0,0
29.6,9,1,1,0,2,0,1,0,0
29.700000000000003,9,1,0,0,0,0,0,1,0
29.710000000000004,9,1,0,0,0,0,0,1,1
29.800000000000004,9,1,0,1,0,0,0,1,1
30.0,9,0,0,1,0,0,0,1,1
30.5,9,1,0,1,0,0,0,1,1
30.6,9,1,0,1,0,1,0,1,1
30.700000000000003,9,1,0,2,1,1,0,0,1
30.710000000000004,9,1,0,2,1,1,0,0,0
30.800000000000004,9,1,0,2,1,1,0,0,0
31.0,9,0,0,2,1,1,0,0,0
31.5,9,1,0,2,1,1,0,0,0
31.6,9,1,0,2,1,2,0,0,0
31.700000000000003,9,1,1,3,2,2,1,0,0
31.710000000000004,9,1,1,3,2,2,1,0,0
31.800000000000004,9,1,1,0,2,2,1,0,0
32.0,9,0,1,0,2,2,1,0,0
32.5,9,1,1,0,2,2,1,0,0
32.6,9,1,1,0,2,0,1,0,0
32.7,9,1,0,0,0,0,0,1,0
32.71,9,1,0,0,0,0,0,1,1
32.800000000000004,9,1,0,1,0,0,0,1,1
33.0,9,0,0,1,0,0,0,1,1
33.5,9,1,0,1,0,0,0,1,1
33.6,9,1,0,1,0,1,0,1,1
33.7,9,1,0,2,1,1,0,0,1
33.71,9,1,0,2,1,1,0,0,0
33.800000000000004,9,1,0,2,1,1,0,0,0
34.0,9,0,0,2,1,1,0,0,0
34.5,9,1,0,2,1,1,0,0,0
34.6,9,1,0,2,1,2,0,0,0
34.7,9,1,1,3,2,2,1,0,0
34.71,9,1,1,3,2,2,1,0,0
34.800000000000004,9,1,1,0,2,2,1,0,0
35.0,9,0,1,0,2,2,1,0,0
35.5,9,1,1,0,2,2,1,0,0
35.6,9,1,1,0,2,0,1,0,0
35.7,9,1,0,0,0,0,0,1,0
35.71,9,1,0,0,0,0,0,1,1
35.800000000000004,9,1,0,1,0,0,0,1,1
36.0,9,0,0,1,0,0,0,1,1
36.5,9,1,0,1,0,0,0,1,1
36.6,9,1,0,1,0,1,0,1,1
36.7,9,1,0,2,1,1,0,0,1
36.71,9,1,0,2,1,1,0,0,0
36.800000000000004,9,1,0,2,1,1,0,0,0
37.0,9,0,0,2,1,1,0,0,0
37.5,9,1,0,2,1,1,0,0,0
37.6,9,1,0,2,1,2,0,0,0
37.7,9,1,1,3,2,2,1,0,0
37.71,9,1,1,3,2,2,1,0,0
37.800000000000004,9,1,1,0,2,2,1,0,0
38.0,9,0,1,0,2,2,1,0,0
38.5,9,1,1,0,2,2,1,0,0
38.6,9,1,1,0,2,0,1,0,0
38.7,9,1,0,0,0,0,0,1,0
38.71,9,1,0,0,0,0,0,1,1
38.800000000000004,9,1,0,1,0,0,0,1,1
39.0,9,0,0,1,0,0,0,1,1
39.5,9,1,0,1,0,0,0,1,1
39.6,9,1,0,1,0,1,0,1,1
39.7,9,1,0,2,1,1,0,0,1
39.71,9,1,0,2,1,1,0,0,0
39.800000000000004,9,1,0,2,1,1,0,0,0
40.800000000000004,9,1,0,2,1,1,0,0,0
